date,bitly,source,tags,clicks
2022-04-22,bit.ly/togetherATL,http://partners.bit.ly/qr,"",1
2022-04-23,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",4
2022-04-23,bit.ly/togetherATL,http://partners.bit.ly/qr,"",2
2022-04-24,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-26,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-04-26,bit.ly/togetherATL,direct,"",1
2022-04-28,bit.ly/togetherATL,https://www.google.com/,"",1
2022-05-01,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-05-06,bit.ly/togetherATL,http://partners.bit.ly/qr,"",1
2022-05-06,bit.ly/togetherATL,direct,"",1
2022-05-10,bit.ly/togetherATL,https://www.rootedinresilience.co/,"",1
2022-05-11,bit.ly/togetherATL,direct,"",1
2022-05-12,bit.ly/togetherATL,direct,"",1
2022-05-17,bit.ly/togetherATL,https://www.google.com/,"",1
2022-04-29,bit.ly/togetherCHI,direct,"",3
2022-05-06,bit.ly/togetherCHI,http://partners.bit.ly/qr,"",1
2022-05-06,bit.ly/togetherCHI,direct,"",1
2022-05-10,bit.ly/togetherCHI,direct,"",1
2022-04-01,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-01,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-06,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-06,bit.ly/togetherDTX,direct,HPO Target Market,1
2022-04-08,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-12,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-12,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-20,bit.ly/togetherDTX,direct,HPO Target Market,2
2022-04-20,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-24,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-04-24,bit.ly/togetherDTX,direct,HPO Target Market,1
2022-04-25,bit.ly/togetherDTX,https://nphchq.com/,HPO Target Market,1
2022-05-06,bit.ly/togetherDTX,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-06,bit.ly/togetherDTX,direct,HPO Target Market,1
2022-05-23,bit.ly/togetherDTX,direct,HPO Target Market,4
2022-04-01,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-05,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,3
2022-04-12,bit.ly/togetherDTM,https://l.instagram.com/,HPO Target Market,5
2022-04-12,bit.ly/togetherDTM,direct,HPO Target Market,3
2022-04-12,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
2022-04-13,bit.ly/togetherDTM,https://l.instagram.com/,HPO Target Market,3
2022-04-18,bit.ly/togetherDTM,https://t.co/,HPO Target Market,2
2022-04-18,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-04-19,bit.ly/togetherDTM,https://t.co/,HPO Target Market,4
2022-04-19,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-04-29,bit.ly/togetherDTM,direct,HPO Target Market,1
2022-05-06,bit.ly/togetherDTM,http://partners.bit.ly/qr,HPO Target Market,1
2022-05-10,bit.ly/togetherDTM,direct,HPO Target Market,1
